,accepted_species,Assigned_group,number_of_species_in_group
14440,Strychnos splendens,Strychnos splendens,1
14442,Strychnos staudtii,Strychnos staudtii,1
14447,Strychnos subcordata,Strychnos subcordata,1
14448,Strychnos tabascana,Strychnos tabascana,1
14450,Strychnos tchibangensis,Strychnos tchibangensis,1
14453,Strychnos toxifera,Strychnos toxifera,1
14466,Strychnos tricalysioides,Strychnos tricalysioides,1
14471,Strychnos trinervis,Strychnos trinervis,1
14480,Strychnos urceolata,Strychnos urceolata,1
14481,Strychnos usambarensis,Strychnos usambarensis,1
14514,Strychnos vanprukii,Strychnos vanprukii,1
14530,Strychnos variabilis,Strychnos variabilis,1
14559,Strychnos wallichiana,Strychnos wallichiana,1
14585,Strychnos xantha,Strychnos xantha,1
14596,Swertia alata,Swertia alata,1
14597,Swertia angustifolia,Swertia angustifolia,1
14613,Swertia arisanensis,Swertia arisanensis,1
14616,Swertia bimaculata,Swertia bimaculata,1
14620,Swertia brownii,Swertia brownii,1
14637,Swertia chirayita,Swertia chirayita,1
14674,Swertia cincta,Swertia cincta,1
14678,Swertia connata,Swertia connata,1
14679,Swertia cordata,Swertia cordata,1
14680,Swertia corymbosa,Swertia corymbosa,1
14692,Swertia cuneata,Swertia cuneata,1
14693,Swertia davidii,Swertia davidii,1
14698,Swertia decora,Swertia decora,1
14706,Swertia delavayi,Swertia delavayi,1
14710,Swertia densifolia,Swertia densifolia,1
14714,Swertia dilatata,Swertia dilatata,1
14722,Swertia diluta,Swertia diluta,1
14728,Swertia erythrosticta,Swertia erythrosticta,1
14734,Swertia fasciculata,Swertia fasciculata,1
14739,Swertia franchetiana,Swertia franchetiana,1
14752,Swertia hickinii,Swertia hickinii,1
14753,Swertia hookeri,Swertia hookeri,1
14766,Swertia iberica,Swertia iberica,1
14772,Swertia japonica,Swertia japonica,1
14899,Swertia kouitchensis,Swertia kouitchensis,1
14913,Swertia lawii,Swertia lawii,1
14918,Swertia leducii,Swertia leducii,1
14939,Swertia longifolia,Swertia longifolia,1
14946,Swertia macrosperma,Swertia macrosperma,1
14958,Swertia marginata,Swertia marginata,1
14960,Swertia mileensis,Swertia mileensis,1
14988,Swertia mussotii,Swertia mussotii,1
14998,Swertia nervosa,Swertia nervosa,1
15009,Swertia paniculata,Swertia paniculata,1
15027,Swertia patens,Swertia patens,1
15031,Swertia perennis,Swertia perennis,1
15046,Swertia petiolata,Swertia petiolata,1
15056,Swertia przewalskii,Swertia przewalskii,1
15057,Swertia pseudochinensis,Swertia pseudochinensis,1
15077,Swertia pubescens,Swertia pubescens,1
15086,Swertia punctata,Swertia punctata,1
15098,Swertia punicea,Swertia punicea,1
15132,Swertia purpurascens,Swertia purpurascens,1
15147,Swertia racemosa,Swertia racemosa,1
15154,Swertia souliei,Swertia souliei,1
15159,Swertia speciosa,Swertia speciosa,1
15174,Swertia swertopsis,Swertia swertopsis,1
15182,Swertia tetrapetala,Swertia tetrapetala,1
15187,Swertia thomsonii,Swertia thomsonii,1
15189,Swertia verticillifolia,Swertia verticillifolia,1
15191,Syringantha coulteri,Syringantha coulteri,1
15207,Tabernaemontana africana,Tabernaemontana africana,1
15239,Tabernaemontana alba,Tabernaemontana alba,1
15254,Tabernaemontana alternifolia,Tabernaemontana alternifolia,1
15283,Tabernaemontana amygdalifolia,Tabernaemontana amygdalifolia,1
15291,Tabernaemontana apoda,Tabernaemontana apoda,1
15308,Tabernaemontana arborea,Tabernaemontana arborea,1
15318,Tabernaemontana attenuata,Tabernaemontana attenuata,1
15334,Tabernaemontana aurantiaca,Tabernaemontana aurantiaca,1
15338,Tabernaemontana bovina,Tabernaemontana bovina,1
15406,Tabernaemontana brachyantha,Tabernaemontana brachyantha,1
15411,Tabernaemontana bufalina,Tabernaemontana bufalina,1
15432,Tabernaemontana calcarea,Tabernaemontana calcarea,1
15468,Tabernaemontana capuronii,Tabernaemontana capuronii,1
15470,Tabernaemontana catharinensis,Tabernaemontana catharinensis,1
15526,Tabernaemontana cerifera,Tabernaemontana cerifera,1
15539,Tabernaemontana ciliata,Tabernaemontana ciliata,1
15548,Tabernaemontana citrifolia,Tabernaemontana citrifolia,1
15570,Tabernaemontana coffeoides,Tabernaemontana coffeoides,1
15619,Tabernaemontana contorta,Tabernaemontana contorta,1
15627,Tabernaemontana coriacea,Tabernaemontana coriacea,1
15630,Tabernaemontana corymbosa,Tabernaemontana corymbosa,1
15734,Tabernaemontana crassa,Tabernaemontana crassa,1
15764,Tabernaemontana crassifolia,Tabernaemontana crassifolia,1
15767,Tabernaemontana cymosa,Tabernaemontana cymosa,1
15820,Tabernaemontana debrayi,Tabernaemontana debrayi,1
15825,Tabernaemontana dichotoma,Tabernaemontana dichotoma,1
15864,Tabernaemontana divaricata,Tabernaemontana divaricata,1
15990,Tabernaemontana donnell-smithii,Tabernaemontana donnell-smithii,1
15991,Tabernaemontana eglandulosa,Tabernaemontana eglandulosa,1
16028,Tabernaemontana elegans,Tabernaemontana elegans,1
16053,Tabernaemontana eusepala,Tabernaemontana eusepala,1
16058,Tabernaemontana eusepaloides,Tabernaemontana eusepaloides,1
16059,Tabernaemontana flavicans,Tabernaemontana flavicans,1
16074,Tabernaemontana glabra,Tabernaemontana glabra,1
16084,Tabernaemontana glandulosa,Tabernaemontana glandulosa,1
16098,Tabernaemontana grandiflora,Tabernaemontana grandiflora,1
16115,Tabernaemontana heterophylla,Tabernaemontana heterophylla,1
16136,Tabernaemontana humblotii,Tabernaemontana humblotii,1
16152,Tabernaemontana hystrix,Tabernaemontana hystrix,1
16187,Tabernaemontana inconspicua,Tabernaemontana inconspicua,1
16196,Tabernaemontana laeta,Tabernaemontana laeta,1
16223,Tabernaemontana laurifolia,Tabernaemontana laurifolia,1
16226,Tabernaemontana litoralis,Tabernaemontana litoralis,1
16230,Tabernaemontana longipes,Tabernaemontana longipes,1
16234,Tabernaemontana macrocalyx,Tabernaemontana macrocalyx,1
16241,Tabernaemontana macrocarpa,Tabernaemontana macrocarpa,1
16250,Tabernaemontana markgrafiana,Tabernaemontana markgrafiana,1
16269,Tabernaemontana mocquerysi,Tabernaemontana mocquerysi,1
16282,Tabernaemontana muricata,Tabernaemontana muricata,1
16285,Tabernaemontana odoratissima,Tabernaemontana odoratissima,1
16294,Tabernaemontana oppositifolia,Tabernaemontana oppositifolia,1
16298,Tabernaemontana pachysiphon,Tabernaemontana pachysiphon,1
16349,Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,1
16391,Tabernaemontana pauciflora,Tabernaemontana pauciflora,1
16396,Tabernaemontana peduncularis,Tabernaemontana peduncularis,1
16403,Tabernaemontana penduliflora,Tabernaemontana penduliflora,1
16411,Tabernaemontana persicariifolia,Tabernaemontana persicariifolia,1
16415,Tabernaemontana peschiera,Tabernaemontana peschiera,1
16419,Tabernaemontana polyneura,Tabernaemontana polyneura,1
16436,Tabernaemontana psorocarpa,Tabernaemontana psorocarpa,1
16447,Tabernaemontana retusa,Tabernaemontana retusa,1
16460,Tabernaemontana robinsonii,Tabernaemontana robinsonii,1
16466,Tabernaemontana rupicola,Tabernaemontana rupicola,1
16468,Tabernaemontana sananho,Tabernaemontana sananho,1
16474,Tabernaemontana sessilifolia,Tabernaemontana sessilifolia,1
16486,Tabernaemontana siphilitica,Tabernaemontana siphilitica,1
16507,Tabernaemontana solanifolia,Tabernaemontana solanifolia,1
16521,Tabernaemontana sphaerocarpa,Tabernaemontana sphaerocarpa,1
16536,Tabernaemontana stapfiana,Tabernaemontana stapfiana,1
16555,Tabernaemontana stellata,Tabernaemontana stellata,1
16556,Tabernaemontana ternifolia,Tabernaemontana ternifolia,1
16557,Tabernaemontana tomentosa,Tabernaemontana tomentosa,1
16559,Tabernaemontana undulata,Tabernaemontana undulata,1
16570,Tabernaemontana vanheurckii,Tabernaemontana vanheurckii,1
16587,Tabernaemontana ventricosa,Tabernaemontana ventricosa,1
16596,Tabernanthe iboga,Tabernanthe iboga,1
16616,Tamilnadia uliginosa,Tamilnadia uliginosa,1
16632,Tarenna asiatica,Tarenna asiatica,1
16633,Tarenna attenuata,Tarenna attenuata,1
16697,Tarenna ebracteata,Tarenna ebracteata,1
16707,Tarenna gracilipes,Tarenna gracilipes,1
16719,Tarenna vanprukii,Tarenna vanprukii,1
16720,Telosma pallida,Telosma pallida,1
16726,Telosma procumbens,Telosma procumbens,1
16744,Thevetia ahouai,Thevetia ahouai,1
16757,Thiollierea montana,Thiollierea montana,1
16759,Timonius kaniensis,Timonius kaniensis,1
16761,Timonius timon,Timonius timon,1
16764,Tinadendron noumeanum,Tinadendron noumeanum,1
16771,Tocoyena bullata,Tocoyena bullata,1
16772,Tocoyena formosa,Tocoyena formosa,1
16788,Trachelospermum asiaticum,Trachelospermum asiaticum,1
16860,Trachelospermum axillare,Trachelospermum axillare,1
16874,Trachelospermum jasminoides,Trachelospermum jasminoides,1
16915,Trachelospermum lucidum,Trachelospermum lucidum,1
16921,Tricalysia okelensis,Tricalysia okelensis,1
16923,Tripterospermum chinense,Tripterospermum chinense,1
16931,Tripterospermum lanceolatum,Tripterospermum lanceolatum,1
16950,Tripterospermum taiwanense,Tripterospermum taiwanense,1
16956,Tripterospermum trinervium,Tripterospermum trinervium,1
16985,Uncaria acida,Uncaria acida,1
16987,Uncaria africana,Uncaria africana,1
16992,Uncaria attenuata,Uncaria attenuata,1
17009,Uncaria bernaysii,Uncaria bernaysii,1
17011,Uncaria borneensis,Uncaria borneensis,1
17017,Uncaria callophylla,Uncaria callophylla,1
17032,Uncaria canescens,Uncaria canescens,1
17034,Uncaria cordata,Uncaria cordata,1
17038,Uncaria elliptica,Uncaria elliptica,1
17068,Uncaria gambir,Uncaria gambir,1
17088,Uncaria guianensis,Uncaria guianensis,1
17102,Uncaria hirsuta,Uncaria hirsuta,1
17124,Uncaria homomalla,Uncaria homomalla,1
17130,Uncaria laevigata,Uncaria laevigata,1
17133,Uncaria lancifolia,Uncaria lancifolia,1
17137,Uncaria lanosa,Uncaria lanosa,1
17152,Uncaria longiflora,Uncaria longiflora,1
17162,Uncaria macrophylla,Uncaria macrophylla,1
17173,Uncaria orientalis,Uncaria orientalis,1
17180,Uncaria perrottetii,Uncaria perrottetii,1
17181,Uncaria rhynchophylla,Uncaria rhynchophylla,1
17237,Uncaria scandens,Uncaria scandens,1
17241,Uncaria sessilifructus,Uncaria sessilifructus,1
17245,Uncaria sinensis,Uncaria sinensis,1
17273,Uncaria sterrophylla,Uncaria sterrophylla,1
17274,Uncaria tomentosa,Uncaria tomentosa,1
17328,Uncaria velutina,Uncaria velutina,1
17333,Urceola laevigata,Urceola laevigata,1
17343,Urceola micrantha,Urceola micrantha,1
17352,Urceola rosea,Urceola rosea,1
17358,Utania racemosa,Utania racemosa,1
17369,Vallaris solanacea,Vallaris solanacea,1
17373,Vallesia antillana,Vallesia antillana,1
17376,Vallesia glabra,Vallesia glabra,1
17397,Vangueria agrestis,Vangueria agrestis,1
17403,Vangueria infausta,Vangueria infausta,1
17404,Veratrilla baillonii,Veratrilla baillonii,1
17411,Vinca difformis,Vinca difformis,1
17429,Vinca erecta,Vinca erecta,1
17492,Vinca herbacea,Vinca herbacea,1
17528,Vinca major,Vinca major,1
17570,Vinca minor,Vinca minor,1
17619,Vincetoxicum amplexicaule,Vincetoxicum amplexicaule,1
17631,Vincetoxicum ascyrifolium,Vincetoxicum ascyrifolium,1
17636,Vincetoxicum atratum,Vincetoxicum atratum,1
17686,Vincetoxicum auriculatum,Vincetoxicum auriculatum,1
17697,Vincetoxicum floribundum,Vincetoxicum floribundum,1
17701,Vincetoxicum forrestii,Vincetoxicum forrestii,1
17717,Vincetoxicum glaucescens,Vincetoxicum glaucescens,1
17727,Vincetoxicum hemsleyanum,Vincetoxicum hemsleyanum,1
17736,Vincetoxicum hirsutum,Vincetoxicum hirsutum,1
17765,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,1
17772,Vincetoxicum indicum,Vincetoxicum indicum,1
17801,Vincetoxicum japonicum,Vincetoxicum japonicum,1
17820,Vincetoxicum kerrii,Vincetoxicum kerrii,1
17823,Vincetoxicum mongolicum,Vincetoxicum mongolicum,1
17845,Vincetoxicum mukdenense,Vincetoxicum mukdenense,1
17857,Vincetoxicum nigrum,Vincetoxicum nigrum,1
17858,Vincetoxicum paniculatum,Vincetoxicum paniculatum,1
17860,Vincetoxicum polyanthum,Vincetoxicum polyanthum,1
17863,Vincetoxicum scandens,Vincetoxicum scandens,1
17874,Vincetoxicum shaanxiense,Vincetoxicum shaanxiense,1
17877,Vincetoxicum spirale,Vincetoxicum spirale,1
17878,Vincetoxicum stauntonii,Vincetoxicum stauntonii,1
17885,Vincetoxicum sublanceolatum,Vincetoxicum sublanceolatum,1
17919,Vincetoxicum sylvaticum,Vincetoxicum sylvaticum,1
17921,Vincetoxicum tanakae,Vincetoxicum tanakae,1
17944,Vincetoxicum versicolor,Vincetoxicum versicolor,1
17953,Voacanga africana,Voacanga africana,1
17994,Voacanga chalotiana,Voacanga chalotiana,1
18009,Voacanga globosa,Voacanga globosa,1
18011,Voacanga grandifolia,Voacanga grandifolia,1
18017,Voacanga thouarsii,Voacanga thouarsii,1
18030,Wendlandia formosana,Wendlandia formosana,1
18032,Wendlandia tinctoria,Wendlandia tinctoria,1
18039,Wrightia antidysenterica,Wrightia antidysenterica,1
18065,Wrightia arborea,Wrightia arborea,1
18068,Wrightia pubescens,Wrightia pubescens,1
18070,Wrightia religiosa,Wrightia religiosa,1
18071,Wrightia tinctoria,Wrightia tinctoria,1
18099,Xestaea lisianthoides,Xestaea lisianthoides,1
18108,Xysmalobium undulatum,Xysmalobium undulatum,1
18114,Zeltnera muehlenbergii,Zeltnera muehlenbergii,1
