,accepted_species,Genus,Assigned_group,number_of_species_in_group
13635,Strophanthus hispidus,Strophanthus,Strophanthus,10
13642,Strophanthus kombe,Strophanthus,Strophanthus,10
13669,Strophanthus nicholsonii,Strophanthus,Strophanthus,10
13671,Strophanthus sarmentosus,Strophanthus,Strophanthus,10
13677,Strophanthus thollonii,Strophanthus,Strophanthus,10
13678,Strumpfia maritima,Strumpfia,Strumpfia,1
13693,Strychnos aculeata,Strychnos,Strychnos,89
13696,Strychnos afzelii,Strychnos,Strychnos,89
13700,Strychnos amazonica,Strychnos,Strychnos,89
13705,Strychnos angolensis,Strychnos,Strychnos,89
13721,Strychnos angustiflora,Strychnos,Strychnos,89
13735,Strychnos atlantica,Strychnos,Strychnos,89
13741,Strychnos axillaris,Strychnos,Strychnos,89
13781,Strychnos barnhartiana,Strychnos,Strychnos,89
13782,Strychnos barteri,Strychnos,Strychnos,89
13783,Strychnos boonei,Strychnos,Strychnos,89
13784,Strychnos brachiata,Strychnos,Strychnos,89
13785,Strychnos brasiliensis,Strychnos,Strychnos,89
13787,Strychnos camptoneura,Strychnos,Strychnos,89
13793,Strychnos castelnaeana,Strychnos,Strychnos,89
13795,Strychnos cathayensis,Strychnos,Strychnos,89
13807,Strychnos chrysophylla,Strychnos,Strychnos,89
13809,Strychnos cocculoides,Strychnos,Strychnos,89
13822,Strychnos congolana,Strychnos,Strychnos,89
13823,Strychnos dale,Strychnos,Strychnos,89
13828,Strychnos decussata,Strychnos,Strychnos,89
13839,Strychnos densiflora,Strychnos,Strychnos,89
13840,Strychnos diaboli,Strychnos,Strychnos,89
13841,Strychnos dinklagei,Strychnos,Strychnos,89
13845,Strychnos diplotricha,Strychnos,Strychnos,89
13852,Strychnos divaricans,Strychnos,Strychnos,89
13859,Strychnos dolichothyrsa,Strychnos,Strychnos,89
13873,Strychnos elaeocarpa,Strychnos,Strychnos,89
13878,Strychnos erichsonii,Strychnos,Strychnos,89
13881,Strychnos fendleri,Strychnos,Strychnos,89
13890,Strychnos floribunda,Strychnos,Strychnos,89
13891,Strychnos froesii,Strychnos,Strychnos,89
13894,Strychnos gardneri,Strychnos,Strychnos,89
13896,Strychnos gossweileri,Strychnos,Strychnos,89
13903,Strychnos guianensis,Strychnos,Strychnos,89
13924,Strychnos henningsii,Strychnos,Strychnos,89
13959,Strychnos hirsuta,Strychnos,Strychnos,89
13961,Strychnos icaja,Strychnos,Strychnos,89
14010,Strychnos ignatii,Strychnos,Strychnos,89
14026,Strychnos jobertiana,Strychnos,Strychnos,89
14029,Strychnos johnsonii,Strychnos,Strychnos,89
14055,Strychnos kasengaensis,Strychnos,Strychnos,89
14063,Strychnos ledermannii,Strychnos,Strychnos,89
14066,Strychnos longicaudata,Strychnos,Strychnos,89
14075,Strychnos lucens,Strychnos,Strychnos,89
14079,Strychnos lucida,Strychnos,Strychnos,89
14119,Strychnos madagascariensis,Strychnos,Strychnos,89
14123,Strychnos malacoclados,Strychnos,Strychnos,89
14124,Strychnos matopensis,Strychnos,Strychnos,89
14142,Strychnos mattogrossensis,Strychnos,Strychnos,89
14145,Strychnos medeola,Strychnos,Strychnos,89
14146,Strychnos melinoniana,Strychnos,Strychnos,89
14150,Strychnos mellodora,Strychnos,Strychnos,89
14160,Strychnos mimfiensis,Strychnos,Strychnos,89
14168,Strychnos minor,Strychnos,Strychnos,89
14171,Strychnos mitis,Strychnos,Strychnos,89
14176,Strychnos mitscherlichii,Strychnos,Strychnos,89
14180,Strychnos moandaensis,Strychnos,Strychnos,89
14181,Strychnos myrtoides,Strychnos,Strychnos,89
14190,Strychnos ngouniensis,Strychnos,Strychnos,89
14206,Strychnos nigritana,Strychnos,Strychnos,89
14208,Strychnos nitida,Strychnos,Strychnos,89
14210,Strychnos nux-blanda,Strychnos,Strychnos,89
14211,Strychnos nux-vomica,Strychnos,Strychnos,89
14289,Strychnos panamensis,Strychnos,Strychnos,89
14294,Strychnos panganensis,Strychnos,Strychnos,89
14304,Strychnos parvifolia,Strychnos,Strychnos,89
14305,Strychnos potatorum,Strychnos,Strychnos,89
14339,Strychnos pseudoquina,Strychnos,Strychnos,89
14347,Strychnos psilosperma,Strychnos,Strychnos,89
14352,Strychnos romeu-belenii,Strychnos,Strychnos,89
14353,Strychnos rondeletioides,Strychnos,Strychnos,89
14354,Strychnos rubiginosa,Strychnos,Strychnos,89
14357,Strychnos solimoesana,Strychnos,Strychnos,89
14360,Strychnos soubrensis,Strychnos,Strychnos,89
14363,Strychnos spinosa,Strychnos,Strychnos,89
14440,Strychnos splendens,Strychnos,Strychnos,89
14442,Strychnos staudtii,Strychnos,Strychnos,89
14447,Strychnos subcordata,Strychnos,Strychnos,89
14448,Strychnos tabascana,Strychnos,Strychnos,89
14450,Strychnos tchibangensis,Strychnos,Strychnos,89
14453,Strychnos toxifera,Strychnos,Strychnos,89
14466,Strychnos tricalysioides,Strychnos,Strychnos,89
14471,Strychnos trinervis,Strychnos,Strychnos,89
14480,Strychnos urceolata,Strychnos,Strychnos,89
14481,Strychnos usambarensis,Strychnos,Strychnos,89
14514,Strychnos vanprukii,Strychnos,Strychnos,89
14530,Strychnos variabilis,Strychnos,Strychnos,89
14559,Strychnos wallichiana,Strychnos,Strychnos,89
14585,Strychnos xantha,Strychnos,Strychnos,89
14596,Swertia alata,Swertia,Swertia,50
14597,Swertia angustifolia,Swertia,Swertia,50
14613,Swertia arisanensis,Swertia,Swertia,50
14616,Swertia bimaculata,Swertia,Swertia,50
14620,Swertia brownii,Swertia,Swertia,50
14637,Swertia chirayita,Swertia,Swertia,50
14674,Swertia cincta,Swertia,Swertia,50
14678,Swertia connata,Swertia,Swertia,50
14679,Swertia cordata,Swertia,Swertia,50
14680,Swertia corymbosa,Swertia,Swertia,50
14692,Swertia cuneata,Swertia,Swertia,50
14693,Swertia davidii,Swertia,Swertia,50
14698,Swertia decora,Swertia,Swertia,50
14706,Swertia delavayi,Swertia,Swertia,50
14710,Swertia densifolia,Swertia,Swertia,50
14714,Swertia dilatata,Swertia,Swertia,50
14722,Swertia diluta,Swertia,Swertia,50
14728,Swertia erythrosticta,Swertia,Swertia,50
14734,Swertia fasciculata,Swertia,Swertia,50
14739,Swertia franchetiana,Swertia,Swertia,50
14752,Swertia hickinii,Swertia,Swertia,50
14753,Swertia hookeri,Swertia,Swertia,50
14766,Swertia iberica,Swertia,Swertia,50
14772,Swertia japonica,Swertia,Swertia,50
14899,Swertia kouitchensis,Swertia,Swertia,50
14913,Swertia lawii,Swertia,Swertia,50
14918,Swertia leducii,Swertia,Swertia,50
14939,Swertia longifolia,Swertia,Swertia,50
14946,Swertia macrosperma,Swertia,Swertia,50
14958,Swertia marginata,Swertia,Swertia,50
14960,Swertia mileensis,Swertia,Swertia,50
14988,Swertia mussotii,Swertia,Swertia,50
14998,Swertia nervosa,Swertia,Swertia,50
15009,Swertia paniculata,Swertia,Swertia,50
15027,Swertia patens,Swertia,Swertia,50
15031,Swertia perennis,Swertia,Swertia,50
15046,Swertia petiolata,Swertia,Swertia,50
15056,Swertia przewalskii,Swertia,Swertia,50
15057,Swertia pseudochinensis,Swertia,Swertia,50
15077,Swertia pubescens,Swertia,Swertia,50
15086,Swertia punctata,Swertia,Swertia,50
15098,Swertia punicea,Swertia,Swertia,50
15132,Swertia purpurascens,Swertia,Swertia,50
15147,Swertia racemosa,Swertia,Swertia,50
15154,Swertia souliei,Swertia,Swertia,50
15159,Swertia speciosa,Swertia,Swertia,50
15174,Swertia swertopsis,Swertia,Swertia,50
15182,Swertia tetrapetala,Swertia,Swertia,50
15187,Swertia thomsonii,Swertia,Swertia,50
15189,Swertia verticillifolia,Swertia,Swertia,50
15191,Syringantha coulteri,Syringantha,Syringantha,1
15207,Tabernaemontana africana,Tabernaemontana,Tabernaemontana,75
15239,Tabernaemontana alba,Tabernaemontana,Tabernaemontana,75
15254,Tabernaemontana alternifolia,Tabernaemontana,Tabernaemontana,75
15283,Tabernaemontana amygdalifolia,Tabernaemontana,Tabernaemontana,75
15291,Tabernaemontana apoda,Tabernaemontana,Tabernaemontana,75
15308,Tabernaemontana arborea,Tabernaemontana,Tabernaemontana,75
15318,Tabernaemontana attenuata,Tabernaemontana,Tabernaemontana,75
15334,Tabernaemontana aurantiaca,Tabernaemontana,Tabernaemontana,75
15338,Tabernaemontana bovina,Tabernaemontana,Tabernaemontana,75
15406,Tabernaemontana brachyantha,Tabernaemontana,Tabernaemontana,75
15411,Tabernaemontana bufalina,Tabernaemontana,Tabernaemontana,75
15432,Tabernaemontana calcarea,Tabernaemontana,Tabernaemontana,75
15468,Tabernaemontana capuronii,Tabernaemontana,Tabernaemontana,75
15470,Tabernaemontana catharinensis,Tabernaemontana,Tabernaemontana,75
15526,Tabernaemontana cerifera,Tabernaemontana,Tabernaemontana,75
15539,Tabernaemontana ciliata,Tabernaemontana,Tabernaemontana,75
15548,Tabernaemontana citrifolia,Tabernaemontana,Tabernaemontana,75
15570,Tabernaemontana coffeoides,Tabernaemontana,Tabernaemontana,75
15619,Tabernaemontana contorta,Tabernaemontana,Tabernaemontana,75
15627,Tabernaemontana coriacea,Tabernaemontana,Tabernaemontana,75
15630,Tabernaemontana corymbosa,Tabernaemontana,Tabernaemontana,75
15734,Tabernaemontana crassa,Tabernaemontana,Tabernaemontana,75
15764,Tabernaemontana crassifolia,Tabernaemontana,Tabernaemontana,75
15767,Tabernaemontana cymosa,Tabernaemontana,Tabernaemontana,75
15820,Tabernaemontana debrayi,Tabernaemontana,Tabernaemontana,75
15825,Tabernaemontana dichotoma,Tabernaemontana,Tabernaemontana,75
15864,Tabernaemontana divaricata,Tabernaemontana,Tabernaemontana,75
15990,Tabernaemontana donnell-smithii,Tabernaemontana,Tabernaemontana,75
15991,Tabernaemontana eglandulosa,Tabernaemontana,Tabernaemontana,75
16028,Tabernaemontana elegans,Tabernaemontana,Tabernaemontana,75
16053,Tabernaemontana eusepala,Tabernaemontana,Tabernaemontana,75
16058,Tabernaemontana eusepaloides,Tabernaemontana,Tabernaemontana,75
16059,Tabernaemontana flavicans,Tabernaemontana,Tabernaemontana,75
16074,Tabernaemontana glabra,Tabernaemontana,Tabernaemontana,75
16084,Tabernaemontana glandulosa,Tabernaemontana,Tabernaemontana,75
16098,Tabernaemontana grandiflora,Tabernaemontana,Tabernaemontana,75
16115,Tabernaemontana heterophylla,Tabernaemontana,Tabernaemontana,75
16136,Tabernaemontana humblotii,Tabernaemontana,Tabernaemontana,75
16152,Tabernaemontana hystrix,Tabernaemontana,Tabernaemontana,75
16187,Tabernaemontana inconspicua,Tabernaemontana,Tabernaemontana,75
16196,Tabernaemontana laeta,Tabernaemontana,Tabernaemontana,75
16223,Tabernaemontana laurifolia,Tabernaemontana,Tabernaemontana,75
16226,Tabernaemontana litoralis,Tabernaemontana,Tabernaemontana,75
16230,Tabernaemontana longipes,Tabernaemontana,Tabernaemontana,75
16234,Tabernaemontana macrocalyx,Tabernaemontana,Tabernaemontana,75
16241,Tabernaemontana macrocarpa,Tabernaemontana,Tabernaemontana,75
16250,Tabernaemontana markgrafiana,Tabernaemontana,Tabernaemontana,75
16269,Tabernaemontana mocquerysi,Tabernaemontana,Tabernaemontana,75
16282,Tabernaemontana muricata,Tabernaemontana,Tabernaemontana,75
16285,Tabernaemontana odoratissima,Tabernaemontana,Tabernaemontana,75
16294,Tabernaemontana oppositifolia,Tabernaemontana,Tabernaemontana,75
16298,Tabernaemontana pachysiphon,Tabernaemontana,Tabernaemontana,75
16349,Tabernaemontana pandacaqui,Tabernaemontana,Tabernaemontana,75
16391,Tabernaemontana pauciflora,Tabernaemontana,Tabernaemontana,75
16396,Tabernaemontana peduncularis,Tabernaemontana,Tabernaemontana,75
16403,Tabernaemontana penduliflora,Tabernaemontana,Tabernaemontana,75
16411,Tabernaemontana persicariifolia,Tabernaemontana,Tabernaemontana,75
16415,Tabernaemontana peschiera,Tabernaemontana,Tabernaemontana,75
16419,Tabernaemontana polyneura,Tabernaemontana,Tabernaemontana,75
16436,Tabernaemontana psorocarpa,Tabernaemontana,Tabernaemontana,75
16447,Tabernaemontana retusa,Tabernaemontana,Tabernaemontana,75
16460,Tabernaemontana robinsonii,Tabernaemontana,Tabernaemontana,75
16466,Tabernaemontana rupicola,Tabernaemontana,Tabernaemontana,75
16468,Tabernaemontana sananho,Tabernaemontana,Tabernaemontana,75
16474,Tabernaemontana sessilifolia,Tabernaemontana,Tabernaemontana,75
16486,Tabernaemontana siphilitica,Tabernaemontana,Tabernaemontana,75
16507,Tabernaemontana solanifolia,Tabernaemontana,Tabernaemontana,75
16521,Tabernaemontana sphaerocarpa,Tabernaemontana,Tabernaemontana,75
16536,Tabernaemontana stapfiana,Tabernaemontana,Tabernaemontana,75
16555,Tabernaemontana stellata,Tabernaemontana,Tabernaemontana,75
16556,Tabernaemontana ternifolia,Tabernaemontana,Tabernaemontana,75
16557,Tabernaemontana tomentosa,Tabernaemontana,Tabernaemontana,75
16559,Tabernaemontana undulata,Tabernaemontana,Tabernaemontana,75
16570,Tabernaemontana vanheurckii,Tabernaemontana,Tabernaemontana,75
16587,Tabernaemontana ventricosa,Tabernaemontana,Tabernaemontana,75
16596,Tabernanthe iboga,Tabernanthe,Tabernanthe,1
16616,Tamilnadia uliginosa,Tamilnadia,Tamilnadia,1
16632,Tarenna asiatica,Tarenna,Tarenna,5
16633,Tarenna attenuata,Tarenna,Tarenna,5
16697,Tarenna ebracteata,Tarenna,Tarenna,5
16707,Tarenna gracilipes,Tarenna,Tarenna,5
16719,Tarenna vanprukii,Tarenna,Tarenna,5
16720,Telosma pallida,Telosma,Telosma,2
16726,Telosma procumbens,Telosma,Telosma,2
16744,Thevetia ahouai,Thevetia,Thevetia,1
16757,Thiollierea montana,Thiollierea,Thiollierea,1
16759,Timonius kaniensis,Timonius,Timonius,2
16761,Timonius timon,Timonius,Timonius,2
16764,Tinadendron noumeanum,Tinadendron,Tinadendron,1
16771,Tocoyena bullata,Tocoyena,Tocoyena,2
16772,Tocoyena formosa,Tocoyena,Tocoyena,2
16788,Trachelospermum asiaticum,Trachelospermum,Trachelospermum,4
16860,Trachelospermum axillare,Trachelospermum,Trachelospermum,4
16874,Trachelospermum jasminoides,Trachelospermum,Trachelospermum,4
16915,Trachelospermum lucidum,Trachelospermum,Trachelospermum,4
16921,Tricalysia okelensis,Tricalysia,Tricalysia,1
16923,Tripterospermum chinense,Tripterospermum,Tripterospermum,4
16931,Tripterospermum lanceolatum,Tripterospermum,Tripterospermum,4
16950,Tripterospermum taiwanense,Tripterospermum,Tripterospermum,4
16956,Tripterospermum trinervium,Tripterospermum,Tripterospermum,4
16985,Uncaria acida,Uncaria,Uncaria,27
16987,Uncaria africana,Uncaria,Uncaria,27
16992,Uncaria attenuata,Uncaria,Uncaria,27
17009,Uncaria bernaysii,Uncaria,Uncaria,27
17011,Uncaria borneensis,Uncaria,Uncaria,27
17017,Uncaria callophylla,Uncaria,Uncaria,27
17032,Uncaria canescens,Uncaria,Uncaria,27
17034,Uncaria cordata,Uncaria,Uncaria,27
17038,Uncaria elliptica,Uncaria,Uncaria,27
17068,Uncaria gambir,Uncaria,Uncaria,27
17088,Uncaria guianensis,Uncaria,Uncaria,27
17102,Uncaria hirsuta,Uncaria,Uncaria,27
17124,Uncaria homomalla,Uncaria,Uncaria,27
17130,Uncaria laevigata,Uncaria,Uncaria,27
17133,Uncaria lancifolia,Uncaria,Uncaria,27
17137,Uncaria lanosa,Uncaria,Uncaria,27
17152,Uncaria longiflora,Uncaria,Uncaria,27
17162,Uncaria macrophylla,Uncaria,Uncaria,27
17173,Uncaria orientalis,Uncaria,Uncaria,27
17180,Uncaria perrottetii,Uncaria,Uncaria,27
17181,Uncaria rhynchophylla,Uncaria,Uncaria,27
17237,Uncaria scandens,Uncaria,Uncaria,27
17241,Uncaria sessilifructus,Uncaria,Uncaria,27
17245,Uncaria sinensis,Uncaria,Uncaria,27
17273,Uncaria sterrophylla,Uncaria,Uncaria,27
17274,Uncaria tomentosa,Uncaria,Uncaria,27
17328,Uncaria velutina,Uncaria,Uncaria,27
17333,Urceola laevigata,Urceola,Urceola,3
17343,Urceola micrantha,Urceola,Urceola,3
17352,Urceola rosea,Urceola,Urceola,3
17358,Utania racemosa,Utania,Utania,1
17369,Vallaris solanacea,Vallaris,Vallaris,1
17373,Vallesia antillana,Vallesia,Vallesia,2
17376,Vallesia glabra,Vallesia,Vallesia,2
17397,Vangueria agrestis,Vangueria,Vangueria,2
17403,Vangueria infausta,Vangueria,Vangueria,2
17404,Veratrilla baillonii,Veratrilla,Veratrilla,1
17411,Vinca difformis,Vinca,Vinca,5
17429,Vinca erecta,Vinca,Vinca,5
17492,Vinca herbacea,Vinca,Vinca,5
17528,Vinca major,Vinca,Vinca,5
17570,Vinca minor,Vinca,Vinca,5
17619,Vincetoxicum amplexicaule,Vincetoxicum,Vincetoxicum,26
17631,Vincetoxicum ascyrifolium,Vincetoxicum,Vincetoxicum,26
17636,Vincetoxicum atratum,Vincetoxicum,Vincetoxicum,26
17686,Vincetoxicum auriculatum,Vincetoxicum,Vincetoxicum,26
17697,Vincetoxicum floribundum,Vincetoxicum,Vincetoxicum,26
17701,Vincetoxicum forrestii,Vincetoxicum,Vincetoxicum,26
17717,Vincetoxicum glaucescens,Vincetoxicum,Vincetoxicum,26
17727,Vincetoxicum hemsleyanum,Vincetoxicum,Vincetoxicum,26
17736,Vincetoxicum hirsutum,Vincetoxicum,Vincetoxicum,26
17765,Vincetoxicum hirundinaria,Vincetoxicum,Vincetoxicum,26
17772,Vincetoxicum indicum,Vincetoxicum,Vincetoxicum,26
17801,Vincetoxicum japonicum,Vincetoxicum,Vincetoxicum,26
17820,Vincetoxicum kerrii,Vincetoxicum,Vincetoxicum,26
17823,Vincetoxicum mongolicum,Vincetoxicum,Vincetoxicum,26
17845,Vincetoxicum mukdenense,Vincetoxicum,Vincetoxicum,26
17857,Vincetoxicum nigrum,Vincetoxicum,Vincetoxicum,26
17858,Vincetoxicum paniculatum,Vincetoxicum,Vincetoxicum,26
17860,Vincetoxicum polyanthum,Vincetoxicum,Vincetoxicum,26
17863,Vincetoxicum scandens,Vincetoxicum,Vincetoxicum,26
17874,Vincetoxicum shaanxiense,Vincetoxicum,Vincetoxicum,26
17877,Vincetoxicum spirale,Vincetoxicum,Vincetoxicum,26
17878,Vincetoxicum stauntonii,Vincetoxicum,Vincetoxicum,26
17885,Vincetoxicum sublanceolatum,Vincetoxicum,Vincetoxicum,26
17919,Vincetoxicum sylvaticum,Vincetoxicum,Vincetoxicum,26
17921,Vincetoxicum tanakae,Vincetoxicum,Vincetoxicum,26
17944,Vincetoxicum versicolor,Vincetoxicum,Vincetoxicum,26
17953,Voacanga africana,Voacanga,Voacanga,5
17994,Voacanga chalotiana,Voacanga,Voacanga,5
18009,Voacanga globosa,Voacanga,Voacanga,5
18011,Voacanga grandifolia,Voacanga,Voacanga,5
18017,Voacanga thouarsii,Voacanga,Voacanga,5
18030,Wendlandia formosana,Wendlandia,Wendlandia,2
18032,Wendlandia tinctoria,Wendlandia,Wendlandia,2
18039,Wrightia antidysenterica,Wrightia,Wrightia,5
18065,Wrightia arborea,Wrightia,Wrightia,5
18068,Wrightia pubescens,Wrightia,Wrightia,5
18070,Wrightia religiosa,Wrightia,Wrightia,5
18071,Wrightia tinctoria,Wrightia,Wrightia,5
18099,Xestaea lisianthoides,Xestaea,Xestaea,1
18108,Xysmalobium undulatum,Xysmalobium,Xysmalobium,1
18114,Zeltnera muehlenbergii,Zeltnera,Zeltnera,1
