,Group,PD,SR,J,J_loess_prediction,J_residuals,J_highlight_high,J_highlight_low,R2
124,INI,-0.435398374887247,-0.5395487887108873,-0.7868791220260847,0.0057214499372737725,-0.7926005719633584,False,False,0.009295374433878179
125,IOW,-1.1081376707160158,-0.7758306895441908,-0.9814922212324976,0.3159351559656648,-1.2974273771981624,False,False,0.009295374433878179
126,IRE,-0.94922349189759,-0.5395487887108873,0.1791558885908495,0.25035706807729874,-0.07120117948644925,False,False,0.009295374433878179
127,IRK,-0.3962815978849715,-0.1375911635537256,0.1603301536592178,-0.007272808426299624,0.16760296208551742,False,False,0.009295374433878179
128,IRN,0.2372713336422473,0.53875848842133,0.4927133556899278,-0.0670406379397447,0.5597539936296725,False,False,0.009295374433878179
129,IRQ,-0.057504424754854,0.1145389224482926,0.5623782517340276,-0.04900412371241568,0.6113823754464432,False,False,0.009295374433878179
130,ITA,0.3155511240127948,0.8219889543502039,0.8912257125958407,-0.06867589800678221,0.9599016106026229,False,False,0.009295374433878179
131,IVO,1.2769435601176833,1.400702438085161,-0.2063045966942988,-0.023892471062462537,-0.18241212563183626,False,False,0.009295374433878179
132,JAM,0.2711787327538849,0.1145389224482926,-0.3200331785284597,-0.06788365571702148,-0.2521495228114382,False,False,0.009295374433878179
133,JAP,1.032293092945288,1.0458092442334497,-0.1636928146492926,-0.040731230483994824,-0.12296158416529779,False,False,0.009295374433878179
134,JAW,1.7059785710309283,1.497286990686708,0.4278573941723909,0.004286727105440568,0.4235706670669503,False,False,0.009295374433878179
135,KAM,-0.8446231483659629,-0.7758306895441908,1.4978596600503669,0.18397454282204792,1.313885117228319,False,False,0.009295374433878179
136,KAN,-1.166837205767435,-0.7758306895441908,-2.429066949806811,0.32987353165318667,-2.758940481459998,False,True,0.009295374433878179
137,KAZ,0.12489810489125,0.4611131282587262,0.592268729484263,-0.061396568952482314,0.6536652984367454,False,False,0.009295374433878179
138,KEN,1.324937504351327,1.3070521355377744,0.6472007322302662,-0.020883974009648712,0.6680847062399149,False,False,0.009295374433878179
139,KGZ,-0.0142869141859617,0.1512156976782091,1.5020052889043838,-0.05246948809080684,1.5544747769951905,False,False,0.009295374433878179
140,KHA,-0.3590965185691552,-0.1375911635537256,0.2889331543689377,-0.01664398165217963,0.3055771360211173,False,False,0.009295374433878179
141,KOR,0.5357290798300853,0.656749766401354,0.3908506135855719,-0.06513604952893685,0.45598666311450875,False,False,0.009295374433878179
142,KRA,-0.2706564349073708,0.0370833440830452,0.2326389469506798,-0.033947719745256025,0.26658666669593584,False,False,0.009295374433878179
143,KRI,-0.5543515629821311,-0.3478112764350301,1.92543100365636,0.0466708142311367,1.8787601894252233,False,False,0.009295374433878179
144,KRY,-0.2550136075142512,0.1866512807783093,1.1128217919615475,-0.03650723116853218,1.1493290231300797,False,False,0.009295374433878179
145,KTY,-0.316076465277092,-0.4715702278899226,-1.2620507837700328,-0.026186400723518414,-1.2358643830465144,False,False,0.009295374433878179
